File Name,Term
0144_LSC - Eleccions.mp4,Eleccions
0145_LSC - Diputat Diputada.mp4,Diputat Diputada
0146_LSC - Departament Conselleria.mp4,Departament Conselleria
0147_LSC - Democràcia.mp4,Democràcia
0148_LSC - Contracte.mp4,Contracte
0149_LSC - Conseller.mp4,Conseller
0150_LSC -  Carta.mp4,Carta
0151_LSC - Bandera.mp4,Bandera
0152_LSC -  Associació.mp4,Associació
0153_LSC - Assamblea.mp4,Assamblea
0154_LSC - Concertat ⧸ Concertada.mp4,Concertat ⧸ Concertada
0156_LSC - Parlament.mp4,Parlament
0157_LSC - Ordre.mp4,Ordre
0158_LSC - Política.mp4,Política
0159_LSC - Privat ⧸ Privada.mp4,Privat ⧸ Privada
0161_LSC - Banc (1).mp4,Banc (1)
0162_LSC - Deute.mp4,Deute
0163_LSC - Floristeria.mp4,Floristeria
0164_LSC - Supermercat.mp4,Supermercat
0165_LSC - Targeta de crèdit dèbit.mp4,Targeta de crèdit dèbit
0166_LSC - Pesar.mp4,Pesar
0167_LSC - Perruqueria.mp4,Perruqueria
0168_LSC - Peixateria.mp4,Peixateria
0169_LSC - Pastisseria.mp4,Pastisseria
0170_LSC - Oferta.mp4,Oferta
0171_LSC - Moneda.mp4,Moneda
0172_LSC - Magatzem.mp4,Magatzem
0173_LSC - Llogar.mp4,Llogar
0174_LSC - Hotel.mp4,Hotel
0175_LSC - Fruiteria.mp4,Fruiteria
0176_LSC - Fleca.mp4,Fleca
0177_LSC - Ferreteria.mp4,Ferreteria
0178_LSC - Factura.mp4,Factura
0179_LSC - Euro.mp4,Euro
0180_LSC - Diners.mp4,Diners
0181_LSC - De franc Gratis.mp4,De franc Gratis
0182_LSC - Client.mp4,Client
0183_LSC - Centre comercial.mp4,Centre comercial
0184_LSC - Cèntim.mp4,Cèntim
0185_LSC - Carnisseria.mp4,Carnisseria
0186_LSC - Joieria.mp4,Joieria
0187_LSC - Tiquet.mp4,Tiquet
0188_LSC - Sabateria.mp4,Sabateria
0189_LSC - Restaurant.mp4,Restaurant
0190_LSC - Rebaixes.mp4,Rebaixes
0191_LSC - Pressupost.mp4,Pressupost
0192_LSC - Car.mp4,Car
0193_LSC - Canvi de moneda.mp4,Canvi de moneda
0194_LSC - Botiga.mp4,Botiga
0195_LSC - Bitllet.mp4,Bitllet
0196_LSC -  Barat.mp4,Barat
0197_LSC - Bar.mp4,Bar
0198_LSC -  Banc 2.mp4,Banc 2
0199_LSC - Comerç.mp4,Comerç
0200_LSC - Economia.mp4,Economia
0202_LSC - Veí ⧸ veïna.mp4,Veí ⧸ veïna
0203_LSC - Terrassa.mp4,Terrassa
0204_LSC - Barcelona.mp4,Barcelona
0205_LSC -  Vorera.mp4,Vorera
0206_LSC -  Sud.mp4,Sud
0207_LSC - Sorra.mp4,Sorra
0208_LSC - Riu.mp4,Riu
0209_LSC - Rambla.mp4,Rambla
0210_LSC - Plaça.mp4,Plaça
0211_LSC -  Pedra 2.mp4,Pedra 2
0212_LSC - Paperera.mp4,Paperera
0213_LSC - País.mp4,País
0214_LSC - Oceà.mp4,Oceà
0215_LSC - Nord.mp4,Nord
0216_LSC - Món.mp4,Món
0217_LSC -  Jardi públic.mp4,Jardi públic
0218_LSC - Vall.mp4,Vall
0219_LSC - Tobogan.mp4,Tobogan
0220_LSC - Tarragona.mp4,Tarragona
0221_LSC - Semàfor.mp4,Semàfor
0222_LSC -  Pont.mp4,Pont
0223_LSC - Poble.mp4,Poble
0224_LSC - Platja.mp4,Platja
0225_LSC - Pedra 1.mp4,Pedra 1
0226_LSC - Passeig.mp4,Passeig
0227_LSC -  Pas de vianants.mp4,Pas de vianants
0228_LSC - Pàrquing.mp4,Pàrquing
0229_LSC - Parc.mp4,Parc
0230_LSC - Oest.mp4,Oest
0231_LSC - Muntanya.mp4,Muntanya
0232_LSC - Mar.mp4,Mar
0233_LSC -  Lleida.mp4,Lleida
0234_LSC - Llac.mp4,Llac
0235_LSC - Font de beure.mp4,Font de beure
0236_LSC -  Est.mp4,Est
0237_LSC - Església.mp4,Església
0238_LSC - Continent.mp4,Continent
0239_LSC - Cim.mp4,Cim
0240_LSC - Catalunya.mp4,Catalunya
0241_LSC - Carrer.mp4,Carrer
0242_LSC - Camí.mp4,Camí
0243_LSC - Bústia.mp4,Bústia
0244_LSC - Barri.mp4,Barri
0245_LSC - Jardí de casa.mp4,Jardí de casa
0246_LSC - Gronxador.mp4,Gronxador
0247_LSC - Girona.mp4,Girona
0248_LSC - Font decorativa.mp4,Font decorativa
0249_LSC - Fanal.mp4,Fanal
0250_LSC - Embassament.mp4,Embassament
0251_LSC - Ciutat.mp4,Ciutat
0252_LSC - Català.mp4,Català
0253_LSC - Castell.mp4,Castell
0254_LSC -  Camping.mp4,Camping
0255_LSC -  Camp.mp4,Camp
0256_LSC - Bosc.mp4,Bosc
0257_LSC - Vacances.mp4,Vacances
0258_LSC - Tortosa.mp4,Tortosa
0259_LSC - Vinya.mp4,Vinya
0260_LSC - Vic.mp4,Vic
0261_LSC - Badalona.mp4,Badalona
0262_LSC -  Andorra (1).mp4,Andorra (1)
0263_LSC - Blanes.mp4,Blanes
0264_LSC - Calella.mp4,Calella
0265_LSC - Cambrils.mp4,Cambrils
0266_LSC - Comarca.mp4,Comarca
0267_LSC - Costa (1).mp4,Costa (1)
0268_LSC - Costa (2).mp4,Costa (2)
0269_LSC - Cruïlla.mp4,Cruïlla
0270_LSC - Ebre.mp4,Ebre
0271_LSC -  Geografia.mp4,Geografia
0272_LSC - Llobregat.mp4,Llobregat
0273_LSC - Manresa.mp4,Manresa
0274_LSC - Mataró.mp4,Mataró
0275_LSC - Montseny.mp4,Montseny
0276_LSC - Montserrat.mp4,Montserrat
0277_LSC - Olot.mp4,Olot
0278_LSC - Palafrugell.mp4,Palafrugell
0279_LSC - Pirineu (1).mp4,Pirineu (1)
0280_LSC - Ripoll.mp4,Ripoll
0281_LSC - Ter.mp4,Ter
0282_LSC - Terratrèmol.mp4,Terratrèmol
0283_LSC - Volcà.mp4,Volcà
0284_LSC - Val d'Aran (2).mp4,Val d'Aran (2)
0285_LSC - Viatge.mp4,Viatge
0286_LSC - Amic ⧸ amiga.mp4,Amic ⧸ amiga
0287_LSC -  Assetjament sexual.mp4,Assetjament sexual
0288_LSC - Mort.mp4,Mort
0289_LSC - Violència domèstica.mp4,Violència domèstica
0290_LSC -  Amor.mp4,Amor
0291_LSC -  Aniversari.mp4,Aniversari
0292_LSC - Avi ⧸ àvia.mp4,Avi ⧸ àvia
0293_LSC - Casat ⧸ casada.mp4,Casat ⧸ casada
0294_LSC  -  Cosí ⧸ cosina.mp4,Cosí ⧸ cosina
0295_LSC - Cunyat ⧸ cunyada.mp4,Cunyat ⧸ cunyada
0296_LSC -  Ells ⧸ elles.mp4,Ells ⧸ elles
0297_LSC -  Família.mp4,Família
0298_LSC - Fill ⧸ filla.mp4,Fill ⧸ filla
0299_LSC - Gai.mp4,Gai
0300_LSC -  Gendre.mp4,Gendre
0301_LSC -  Germà ⧸ germana.mp4,Germà ⧸ germana
0302_LSC - Heterosexual.mp4,Heterosexual
0303_LSC -  Homosexual.mp4,Homosexual
0304_LSC  - Jo.mp4,Jo
0305_LSC -  Lesbiana.mp4,Lesbiana
0306_LSC - Mare.mp4,Mare
0307_LSC - Marit.mp4,Marit
0308_LSC -  Muller.mp4,Muller
0309_LSC -  Neboda.mp4,Neboda
0310_LSC -  Nebot.mp4,Nebot
0311_LSC -  Nena.mp4,Nena
0312_LSC  -  Net ⧸ neta.mp4,Net ⧸ neta
0313_LSC -  Nora.mp4,Nora
0314_LSC -  Nosaltres.mp4,Nosaltres
0315_LSC - Oncle.mp4,Oncle
0316_LSC -  Pare.mp4,Pare
0317_LSC -  Parella.mp4,Parella
0318_LSC -  Persona (1).mp4,Persona (1)
0319_LSC -  Persona (2).mp4,Persona (2)
0320_LSC -  Sogra.mp4,Sogra
0321_LSC - Sogre.mp4,Sogre
0322_LSC -  Solter ⧸ soltera.mp4,Solter ⧸ soltera
0323_LSC  - Tia.mp4,Tia
0324_LSC -  Tu.mp4,Tu
0326_LSC - Viure.mp4,Viure
0327_LSC   Vosaltres dos.mp4,Vosaltres dos
0328_LSC  -  Vosaltres.mp4,Vosaltres
0329_LSC - Bessó ⧸ Bessona.mp4,Bessó ⧸ Bessona
0330_LSC - Divorciat ⧸ Divorciada.mp4,Divorciat ⧸ Divorciada
0331_LSC - Matrimoni.mp4,Matrimoni
0332_LSC - Nena.mp4,Nena
0333_LSC - Nen.mp4,Nen
0334_LSC - Nadó.mp4,Nadó
0335_LSC - Persona sordcega.mp4,Persona sordcega
0336_LSC - Persona signant.mp4,Persona signant
0337_LSC - Oïdor ⧸ Oïdora.mp4,Oïdor ⧸ Oïdora
0338_LSC - Pocavergonya.mp4,Pocavergonya
0339_LSC - Boca.mp4,Boca
0340_LSC -  Braç.mp4,Braç
0341_LSC -  Cabells.mp4,Cabells
0342_LSC -  Cames.mp4,Cames
0343_LSC - Cap.mp4,Cap
0344_LSC - Cara (1).mp4,Cara (1)
0345_LSC -  Cara (2).mp4,Cara (2)
0346_LSC -  Cella.mp4,Cella
0347_LSC -  Coll.mp4,Coll
0348_LSC - Colze.mp4,Colze
0349_LSC - Cor.mp4,Cor
0350_LSC -  Cos humà.mp4,Cos humà
0351_LSC -  Dents (1).mp4,Dents (1)
0352_LSC -  Dents (2).mp4,Dents (2)
0353_LSC -  Dit.mp4,Dit
0354_LSC  -  Dits.mp4,Dits
0355_LSC  -  Dona.mp4,Dona
0356_LSC -  Genolls.mp4,Genolls
0357_LSC -  Gust.mp4,Gust
0358_LSC - Home.mp4,Home
0359_LSC -  Llengua.mp4,Llengua
0360_LSC - Mans.mp4,Mans
0361_LSC -  Nas.mp4,Nas
0362_LSC - Natges.mp4,Natges
0363_LSC - Oïda.mp4,Oïda
0364_LSC -  Olfacte.mp4,Olfacte
0365_LSC - Orella.mp4,Orella
0366_LSC -  Penis.mp4,Penis
0367_LSC - Pestanyes.mp4,Pestanyes
0368_LSC -  Peus.mp4,Peus
0369_LSC - Pit de dona.mp4,Pit de dona
0370_LSC - Pit.mp4,Pit
0371_LSC - Tacte.mp4,Tacte
0372_LSC - Taló.mp4,Taló
0373_LSC - Ull.mp4,Ull
0374_LSC -  Ungla.mp4,Ungla
0375_LSC - Vagina.mp4,Vagina
0376_LSC - Vista.mp4,Vista
0377_LSC - Panxa.mp4,Panxa
0378_LSC - Alt ⧸ alta.mp4,Alt ⧸ alta
0379_LSC -  Amable.mp4,Amable
0380_LSC - Amarg ⧸ amarga.mp4,Amarg ⧸ amarga
0381_LSC - Aspre ⧸ aspra.mp4,Aspre ⧸ aspra
0382_LSC - Baix ⧸ baixa.mp4,Baix ⧸ baixa
0383_LSC -  Bonic ⧸ bonica.mp4,Bonic ⧸ bonica
0384_LSC -  Brut ⧸ bruta.mp4,Brut ⧸ bruta
0385_LSC - Buit ⧸ buida.mp4,Buit ⧸ buida
0386_LSC -  Calent ⧸ calenta.mp4,Calent ⧸ calenta
0387_LSC -  Clar ⧸ clara.mp4,Clar ⧸ clara
0388_LSC -  Content ⧸ contenta.mp4,Content ⧸ contenta
0389_LSC -  Contrast.mp4,Contrast
0390_LSC  -  Curt ⧸ curta.mp4,Curt ⧸ curta
0391_LSC -  Dolç ⧸ dolça.mp4,Dolç ⧸ dolça
0392_LSC  -  Dur ⧸ dura.mp4,Dur ⧸ dura
0393_LSC -  Fals ⧸ falsa.mp4,Fals ⧸ falsa
0394_LSC - Fort ⧸ forta.mp4,Fort ⧸ forta
0395_LSC -  Fosc ⧸ fosca.mp4,Fosc ⧸ fosca
0396_LSC -  Fred ⧸ freda.mp4,Fred ⧸ freda
0397_LSC  -  Gasós ⧸ gasosa.mp4,Gasós ⧸ gasosa
0398_LSC -  Gran.mp4,Gran
0399_LSC -  Gros ⧸ grossa.mp4,Gros ⧸ grossa
0400_LSC -  Important.mp4,Important
0401_LSC -  Lent ⧸ lenta.mp4,Lent ⧸ lenta
0402_LSC -  Líquid ⧸ líquida.mp4,Líquid ⧸ líquida
0403_LSC -  Llarg ⧸ llarga (1).mp4,Llarg ⧸ llarga (1)
0404_LSC  -  Llarg ⧸ llarga (2).mp4,Llarg ⧸ llarga (2)
0405_LSC -  Lleig ⧸ lletja (1).mp4,Lleig ⧸ lletja (1)
0406_LSC -  Lleig ⧸ lletja (2).mp4,Lleig ⧸ lletja (2)
0407_LSC  -  Lleuger ⧸ lleugera.mp4,Lleuger ⧸ lleugera
0408_LSC  -  Maco ⧸ maca.mp4,Maco ⧸ maca
0409_LSC -  Meitat ⧸ mig.mp4,Meitat ⧸ mig
0410_LSC -  Millor.mp4,Millor
0411_LSC -  Mullat ⧸ mullada.mp4,Mullat ⧸ mullada
0412_LSC -  Net ⧸ neta.mp4,Net ⧸ neta
0413_LSC  -  Nou ⧸ nova.mp4,Nou ⧸ nova
0414_LSC  -  Obert ⧸ oberta.mp4,Obert ⧸ oberta
0415_LSC -  Obligatori ⧸ obligatòria.mp4,Obligatori ⧸ obligatòria
