File Name,Term
0584_LSC -  Donar.mp4,Donar
0585_LSC  -  Dormir.mp4,Dormir
0586_LSC - Dur.mp4,Dur
0587_LSC  -  Dutxar- se.mp4,Dutxar- se
0588_LSC  -  Empènyer.mp4,Empènyer
0589_LSC  -  Ensenyar.mp4,Ensenyar
0590_LSC -  Entendre.mp4,Entendre
0591_LSC -  Escoltar (oïdors).mp4,Escoltar (oïdors)
0592_LSC -   Escoltar (signants).mp4,Escoltar (signants)
0593_LSC -  Escombrar.mp4,Escombrar
0594_LSC  -  Escriure.mp4,Escriure
0595_LSC  -  Esperar.mp4,Esperar
0596_LSC -  Estimar.mp4,Estimar
0597_LSC  -  Estudiar.mp4,Estudiar
0598_LSC  -  Explicar.mp4,Explicar
0599_LSC -  Fer falta.mp4,Fer falta
0600_LSC -  Fer un petó.mp4,Fer un petó
0601_LSC -  Fer.mp4,Fer
0602_LSC  - Haver-hi  ⧸ Hi ha.mp4,Haver-hi  ⧸ Hi ha
0603_LSC - Interessar.mp4,Interessar
0604_LSC  -  Jugar.mp4,Jugar
0605_LSC -  Llegir (1).mp4,Llegir (1)
0606_LSC -  Llegir (2).mp4,Llegir (2)
0607_LSC -  Menjar.mp4,Menjar
0608_LSC -  Nedar.mp4,Nedar
0609_LSC  -  Oblidar.mp4,Oblidar
0610_LSC  -  Orinar.mp4,Orinar
0611_LSC  -  Pagar.mp4,Pagar
0612_LSC  -  Parlar.mp4,Parlar
0613_LSC -  Passejar.mp4,Passejar
0614_LSC -  Pensar.mp4,Pensar
0615_LSC -  Perdonar 1.mp4,Perdonar 1
0616_LSC -  Perdonar 2.mp4,Perdonar 2
0617_LSC  -  Perdre.mp4,Perdre
0618_LSC -  Plorar.mp4,Plorar
0619_LSC - Portar.mp4,Portar
0620_LSC -  Posar- se dret.mp4,Posar- se dret
0621_LSC  -  Presentar.mp4,Presentar
0622_LSC -  Prohibir 1.mp4,Prohibir 1
0623_LSC -  Prohibir 2.mp4,Prohibir 2
0624_LSC -  Pujar.mp4,Pujar
0625_LSC  -   Quedar- se 1.mp4,Quedar- se 1
0626_LSC  -  Quedar- se 2.mp4,Quedar- se 2
0627_LSC -  Recordar.mp4,Recordar
0628_LSC -  Repetir 1.mp4,Repetir 1
0629_LSC - Riure.mp4,Riure
0630_LSC - Saber.mp4,Saber
0631_LSC - Saltar.mp4,Saltar
0632_LSC - Seure.mp4,Seure
0633_LSC - Signar.mp4,Signar
0634_LSC - Somriure.mp4,Somriure
0635_LSC - Tallar.mp4,Tallar
0636_LSC - Tenir cura de.mp4,Tenir cura de
0637_LSC - Treballar.mp4,Treballar
0638_LSC - Trobar.mp4,Trobar
0639_LSC - Vendre.mp4,Vendre
0640_LSC  -  Venir.mp4,Venir
0641_LSC - Veure.mp4,Veure
0642_LSC  -  Voler.mp4,Voler
0643_LSC -  Escapar.mp4,Escapar
0644_LSC -  Matar.mp4,Matar
0646_LSC - Comparar.mp4,Comparar
0648_LSC - Manar.mp4,Manar
0649_LSC - Obligar.mp4,Obligar
0650_LSC - Respectar.mp4,Respectar
0651_LSC - Suspendre.mp4,Suspendre
0652_LSC - Alumne ⧸ alumna.mp4,Alumne ⧸ alumna
0653_LSC - Bata.mp4,Bata
0654_LSC - Bolígraf.mp4,Bolígraf
0655_LSC - Calculadora.mp4,Calculadora
0656_LSC -  Calendari.mp4,Calendari
0657_LSC - Carrera.mp4,Carrera
0658_LSC - Clip.mp4,Clip
0659_LSC - Company ⧸ companya.mp4,Company ⧸ companya
0660_LSC -  Compàs.mp4,Compàs
0661_LSC -  Esbarjo.mp4,Esbarjo
0662_LSC -  Escola.mp4,Escola
0663_LSC - Estoig.mp4,Estoig
0664_LSC -  Estudis.mp4,Estudis
0665_LSC -  Fotocopiadora.mp4,Fotocopiadora
0667_LSC -  Goma d'esborrar.mp4,Goma d'esborrar
0668_LSC - Goma elàstica.mp4,Goma elàstica
0669_LSC -  Guix.mp4,Guix
0670_LSC - Institut.mp4,Institut
0671_LSC -  Joc.mp4,Joc
0672_LSC -  Llapis.mp4,Llapis
0673_LSC -  Llibre.mp4,Llibre
0674_LSC -  Llibreta.mp4,Llibreta
0675_LSC -  Lliçó.mp4,Lliçó
0676_LSC -  Mapa.mp4,Mapa
0677_LSC -  Maquineta.mp4,Maquineta
0678_LSC -  Material.mp4,Material
0679_LSC -  Motxilla.mp4,Motxilla
0680_LSC -  Quitxalla.mp4,Quitxalla
0681_LSC -  Paper.mp4,Paper
0682_LSC -  Pintura.mp4,Pintura
0683_LSC -  Pinzell.mp4,Pinzell
0684_LSC -  Pissarra.mp4,Pissarra
0685_LSC -  Plastilina.mp4,Plastilina
0686_LSC -  Professor ⧸ professora.mp4,Professor ⧸ professora
0687_LSC -  Regle.mp4,Regle
0688_LSC - Rellotge.mp4,Rellotge
0689_LSC -  Tisores.mp4,Tisores
0690_LSC -  Universitat.mp4,Universitat
0691_LSC - Aprovar.mp4,Aprovar
0692_LSC - Avaluació.mp4,Avaluació
0694_LSC - Biologia.mp4,Biologia
0697_LSC - Carrera.mp4,Carrera
0698_LSC - Classe.mp4,Classe
0700_LSC - Conferència.mp4,Conferència
0702_LSC - Curs.mp4,Curs
0704_LSC - Disciplina.mp4,Disciplina
0706_LSC - Educació infantil.mp4,Educació infantil
0707_LSC - Educació social.mp4,Educació social
0708_LSC - Electrònica.mp4,Electrònica
0709_LSC - Examen.mp4,Examen
0710_LSC - Expressió.mp4,Expressió
0711_LSC - Física.mp4,Física
0712_LSC - Educació física (1).mp4,Educació física (1)
0713_LSC - Educació física (2).mp4,Educació física (2)
0715_LSC - Infermeria (2).mp4,Infermeria (2)
0716_LSC - Infermeria (1).mp4,Infermeria (1)
0717_LSC - Informàtica (1).mp4,Informàtica (1)
0718_LSC - Informàtica (2).mp4,Informàtica (2)
0720_LSC - Matemàtiques (1).mp4,Matemàtiques (1)
0721_LSC - Matemàtiques (2).mp4,Matemàtiques (2)
0722_LSC - Medicina.mp4,Medicina
0725_LSC - Química.mp4,Química
0728_LSC - Abric.mp4,Abric
0729_LSC - Bolquers.mp4,Bolquers
0730_LSC - Botes.mp4,Botes
0731_LSC - Botons.mp4,Botons
0732_LSC - Bufanda.mp4,Bufanda
0733_LSC - Calces.mp4,Calces
0734_LSC -  Calçotets.mp4,Calçotets
0735_LSC - Camisa.mp4,Camisa
0736_LSC - Cinturó.mp4,Cinturó
0737_LSC -  Corbata.mp4,Corbata
0738_LSC - Diadema.mp4,Diadema
0739_LSC - Faldilla.mp4,Faldilla
0740_LSC -  Gorra.mp4,Gorra
0741_LSC -  Guants.mp4,Guants
0742_LSC -  Impermeable.mp4,Impermeable
0743_LSC - Jaqueta.mp4,Jaqueta
0744_LSC - Llaç.mp4,Llaç
0745_LSC - Mitges.mp4,Mitges
0746_LSC -  Mitjons.mp4,Mitjons
0747_LSC - Pantalons texans.mp4,Pantalons texans
0748_LSC -  Pijama.mp4,Pijama
0749_LSC - Pitet.mp4,Pitet
0750_LSC -  Roba.mp4,Roba
0751_LSC -  Sabates.mp4,Sabates
0752_LSC - Samarreta de tirants.mp4,Samarreta de tirants
0753_LSC -  Samarreta normal.mp4,Samarreta normal
0754_LSC - Sandàlies.mp4,Sandàlies
0755_LSC -  Sostenidor.mp4,Sostenidor
0756_LSC - Tirants (1).mp4,Tirants (1)
0757_LSC -  Tirants (2).mp4,Tirants (2)
0759_LSC -  Vestit.mp4,Vestit
0761_LSC - Capa.mp4,Capa
0762_LSC -  Botes de pluja.mp4,Botes de pluja
0763_LSC - Pantalons.mp4,Pantalons
0764_LSC - Aïguera.mp4,Aïguera
0765_LSC -  Arbre.mp4,Arbre
0766_LSC - Armari de roba.mp4,Armari de roba
0767_LSC - Ascensor.mp4,Ascensor
0768_LSC -  Assecador.mp4,Assecador
0769_LSC - Batedora.mp4,Batedora
0770_LSC -  Balcó.mp4,Balcó
0771_LSC -  Bombeta.mp4,Bombeta
0772_LSC - Butaca.mp4,Butaca
0773_LSC - Cadira.mp4,Cadira
0774_LSC - Calefacció.mp4,Calefacció
0775_LSC - Catifa.mp4,Catifa
0776_LSC -  Claus.mp4,Claus
0777_LSC - Coixí.mp4,Coixí
0778_LSC - Congelador.mp4,Congelador
0779_LSC - Cortina.mp4,Cortina
0780_LSC - Cuina.mp4,Cuina
0781_LSC - Cullera.mp4,Cullera
0782_LSC -  Dormitori.mp4,Dormitori
0783_LSC - Dutxa.mp4,Dutxa
0784_LSC - Escala.mp4,Escala
0785_LSC -  Escalfador.mp4,Escalfador
0786_LSC - Escombra.mp4,Escombra
0787_LSC - Escombraries.mp4,Escombraries
0788_LSC -  Expremedor.mp4,Expremedor
0789_LSC - Finestra.mp4,Finestra
0790_LSC - Flor.mp4,Flor
0791_LSC - Foc.mp4,Foc
0792_LSC - Forn.mp4,Forn
0793_LSC - Forquilla.mp4,Forquilla
0794_LSC - Galleda.mp4,Galleda
0795_LSC - Ganivet.mp4,Ganivet
0796_LSC - Garatge.mp4,Garatge
0797_LSC - Gerra.mp4,Gerra
0798_LSC - Got.mp4,Got
0799_LSC - Habitació de matrimoni.mp4,Habitació de matrimoni
0800_LSC -  Lavabo (1).mp4,Lavabo (1)
0801_LSC -  Lavabo (2).mp4,Lavabo (2)
0802_LSC - Llar de foc.mp4,Llar de foc
0803_LSC - Llençol.mp4,Llençol
0804_LSC - Llit.mp4,Llit
0805_LSC - Llum de sostre.mp4,Llum de sostre
0806_LSC - Llum de taula.mp4,Llum de taula
0807_LSC - Manta.mp4,Manta
0808_LSC -  Màquina d'afaitar.mp4,Màquina d'afaitar
0809_LSC -  Màquina de cosir.mp4,Màquina de cosir
0810_LSC - Menjador.mp4,Menjador
0811_LSC - Microones.mp4,Microones
0812_LSC -  Mirall.mp4,Mirall
0813_LSC - Mobles.mp4,Mobles
0814_LSC - Nevera.mp4,Nevera
0815_LSC - Objectes Estris.mp4,Objectes Estris
0816_LSC -  Olla.mp4,Olla
0817_LSC - Paella.mp4,Paella
0818_LSC - Paper de cuina.mp4,Paper de cuina
0819_LSC - Paper higiènic.mp4,Paper higiènic
0820_LSC - Paret.mp4,Paret
0821_LSC -  Passadís.mp4,Passadís
0822_LSC - Persiana.mp4,Persiana
0823_LSC - Planxa.mp4,Planxa
0824_LSC - Plat.mp4,Plat
0825_LSC - Porta.mp4,Porta
0826_LSC - Prestatgeria.mp4,Prestatgeria
0827_LSC - Quadre.mp4,Quadre
0828_LSC - Radiador.mp4,Radiador
0829_LSC - Recollidor (1).mp4,Recollidor (1)
0830_LSC - Recollidor (2).mp4,Recollidor (2)
0831_LSC - Rentadora.mp4,Rentadora
0832_LSC - Rentaplats.mp4,Rentaplats
0833_LSC - Sabó.mp4,Sabó
0834_LSC - Sofà (1).mp4,Sofà (1)
0835_LSC - Sofà (2).mp4,Sofà (2)
0836_LSC - Sostre.mp4,Sostre
0837_LSC - Tassa de wàter.mp4,Tassa de wàter
0838_LSC - Tassa.mp4,Tassa
0839_LSC - Taula de planxar.mp4,Taula de planxar
0840_LSC - Televisor.mp4,Televisor
0841_LSC - Terra.mp4,Terra
0843_LSC - Teulada.mp4,Teulada
0844_LSC - Tovalló.mp4,Tovalló
0845_LSC - Tovallola.mp4,Tovallola
0846_LSC - Xemeneia.mp4,Xemeneia
0847_LSC - Armari de cuina.mp4,Armari de cuina
0848_LSC -  Casa.mp4,Casa
0852_LSC -  Fuita d'aigua.mp4,Fuita d'aigua
0853_LSC  -  Fuita de gas.mp4,Fuita de gas
0855_LSC - Balcó.mp4,Balcó
0856_LSC - Fum.mp4,Fum
0857_LSC - Gas.mp4,Gas
0858_LSC - Pis.mp4,Pis
0859_LSC - Accident.mp4,Accident
0860_LSC -  Agent rural.mp4,Agent rural
0861_LSC  -  Agressió.mp4,Agressió
0862_LSC  -  Ajudar.mp4,Ajudar
0863_LSC -  Alarma.mp4,Alarma
0864_LSC -  Alcoholèmia (1).mp4,Alcoholèmia (1)
0865_LSC - Alcoholèmia (2).mp4,Alcoholèmia (2)
0866_LSC -  Amenaça.mp4,Amenaça
0867_LSC -  Arma blanca.mp4,Arma blanca
0868_LSC  -  Arma de foc.mp4,Arma de foc
0869_LSC -  Assalt.mp4,Assalt
0870_LSC -  Assetjament laboral.mp4,Assetjament laboral
0872_LSC  -  Bala.mp4,Bala
0873_LSC -  Baralla (1).mp4,Baralla (1)
0874_LSC - Baralla (2).mp4,Baralla (2)
0875_LSC -  Bomba.mp4,Bomba
0876_LSC -  Borratxera.mp4,Borratxera
0877_LSC  -  Càmera de vigilància.mp4,Càmera de vigilància
0880_LSC -  Cent dotze ⧸ 112.mp4,Cent dotze ⧸ 112
0881_LSC -  Clau.mp4,Clau
0882_LSC  -  Coacció.mp4,Coacció
0884_LSC -  Control de vigilància.mp4,Control de vigilància
0885_LSC -  Cotxe patrulla ⧸ cotxe de policia.mp4,Cotxe patrulla ⧸ cotxe de policia
0886_LSC -  Declaració.mp4,Declaració
0887_LSC -  Delicte.mp4,Delicte
0888_LSC -  Delinqüent.mp4,Delinqüent
0889_LSC  -  Denúncia.mp4,Denúncia
0890_LSC -  Desaparició.mp4,Desaparició
0891_LSC -  Detingut.mp4,Detingut
0892_LSC  -  Discriminació.mp4,Discriminació
0893_LSC -  Emergència.mp4,Emergència
0895_LSC -  Espiera.mp4,Espiera
0896_LSC -  Estrebada.mp4,Estrebada
0897_LSC  - Explosió.mp4,Explosió
0901_LSC -  Furt.mp4,Furt
0902_LSC -  Incendi.mp4,Incendi
0903_LSC -  Insult.mp4,Insult
0904_LSC -  Intèrfon.mp4,Intèrfon
0905_LSC -  Inundació.mp4,Inundació
0907_LSC -  Lladre.mp4,Lladre
0908_LSC -  Maltractament.mp4,Maltractament
0909_LSC - Manifestació.mp4,Manifestació
0910_LSC -  Manyà.mp4,Manyà
0912_LSC - Moneder.mp4,Moneder
0914_LSC - Mosso d'esquadra ⧸ Mossa d'esquadra.mp4,Mosso d'esquadra ⧸ Mossa d'esquadra
0915_LSC - Pany.mp4,Pany
0917_LSC -  Policia.mp4,Policia
0918_LSC -  Porta.mp4,Porta
0920_LSC -  Presoner ⧸ presonera.mp4,Presoner ⧸ presonera
0921_LSC -  Protecció civil.mp4,Protecció civil
0922_LSC -  Rescat.mp4,Rescat
0923_LSC -  Robatori.mp4,Robatori
0924_LSC - Segrest.mp4,Segrest
0925_LSC - Terratrèmol.mp4,Terratrèmol
0926_LSC - Testimoni.mp4,Testimoni
0927_LSC - Timbre.mp4,Timbre
0928_LSC  -  Urgència.mp4,Urgència
0929_LSC - Violació.mp4,Violació
0931_LSC - Zero noranta-dos ⧸ 092.mp4,Zero noranta-dos ⧸ 092
0932_LSC -  Cartera 1.mp4,Cartera 1
0933_LSC - Cartera 2.mp4,Cartera 2
0934_LSC -  Estafa.mp4,Estafa
0935_LSC -  Patrulla policial.mp4,Patrulla policial
0936_LSC - Noranta u.mp4,Noranta u
0937_LSC - Teleassistència.mp4,Teleassistència
0938_LSC - Velocitat.mp4,Velocitat
0939_LSC - Vaixell.mp4,Vaixell
0940_LSC - Tren.mp4,Tren
0941_LSC - Transport.mp4,Transport
0942_LSC - Trànsit.mp4,Trànsit
0943_LSC - Tramvia.mp4,Tramvia
0944_LSC - Telèferic.mp4,Telèferic
0945_LSC - Taxi.mp4,Taxi
0946_LSC - Submarí.mp4,Submarí
0947_LSC - Radar de trànsit.mp4,Radar de trànsit
0948_LSC - Radar aeri.mp4,Radar aeri
0949_LSC - Port.mp4,Port
0950_LSC - Peatge.mp4,Peatge
0951_LSC  - Patinet.mp4,Patinet
0952_LSC - Parada de tramvia.mp4,Parada de tramvia
0953_LSC - Parada de taxis.mp4,Parada de taxis
0954_LSC - Parada d'autobús.mp4,Parada d'autobús
0955_LSC - Multa.mp4,Multa
0956_LSC - Moto.mp4,Moto
0957_LSC - Metro.mp4,Metro
0958_LSC - Helicòpter.mp4,Helicòpter
0959_LSC - Gasolina.mp4,Gasolina
0960_LSC - Furgoneta.mp4,Furgoneta
0961_LSC -  Funicular.mp4,Funicular
0962_LSC -  Escales mecàniques.mp4,Escales mecàniques
0963_LSC - Cremallera.mp4,Cremallera
0964_LSC - Cotxe.mp4,Cotxe
0965_LSC - Cotxe de policia.mp4,Cotxe de policia
0966_LSC - Cotxe de bombers.mp4,Cotxe de bombers
0967_LSC - Carretera (2).mp4,Carretera (2)
0968_LSC - Carretera (1).mp4,Carretera (1)
0969_LSC - Camió.mp4,Camió
0970_LSC - Bicicleta.mp4,Bicicleta
0971_LSC - Avió.mp4,Avió
0972_LSC - Autovia.mp4,Autovia
0973_LSC - Autopista (1).mp4,Autopista (1)
0974_LSC - Autopista (2).mp4,Autopista (2)
0975_LSC - Autocar.mp4,Autocar
0976_LSC - Autobús.mp4,Autobús
0977_LSC - Ambulància.mp4,Ambulància
0978_LSC - Alcoholèmia.mp4,Alcoholèmia
0979_LSC - Aeroport.mp4,Aeroport
0983_LSC - Tractor.mp4,Tractor
0985_LSC - Braç trencat.mp4,Braç trencat
0986_LSC - Bony.mp4,Bony
0987_LSC - Bolquer.mp4,Bolquer
0988_LSC - Bena (2).mp4,Bena (2)
0989_LSC - Bena (1).mp4,Bena (1)
0990_LSC - Bàscula.mp4,Bàscula
0991_LSC - Barbeta.mp4,Barbeta
0992_LSC - Bacteri.mp4,Bacteri
0993_LSC - Avorrit ⧸ avorrida.mp4,Avorrit ⧸ avorrida
0994_LSC - Anticonceptiu.mp4,Anticonceptiu
0995_LSC - Antibiòtic.mp4,Antibiòtic
0996_LSC - Ansiós ⧸ ansiosa.mp4,Ansiós ⧸ ansiosa
0997_LSC - Ansietat.mp4,Ansietat
0998_LSC - Anàlisi clínica.mp4,Anàlisi clínica
0999_LSC - Ambulatori ⧸ CAP.mp4,Ambulatori ⧸ CAP
1000_LSC - Alegria.mp4,Alegria
1001_LSC - Alegre.mp4,Alegre
1002_LSC - Alcohol.mp4,Alcohol
1003_LSC - Pulmó (1).mp4,Pulmó (1)
1004_LSC - Preservatiu.mp4,Preservatiu
1005_LSC - Pomada.mp4,Pomada
1006_LSC - Píndola.mp4,Píndola
1007_LSC - Picada.mp4,Picada
1008_LSC - Operació.mp4,Operació
1009_LSC - Nerviós ⧸ nerviosa.mp4,Nerviós ⧸ nerviosa
1010_LSC - Molèstia.mp4,Molèstia
1011_LSC - Moc.mp4,Moc
1012_LSC - Metge ⧸ metgessa.mp4,Metge ⧸ metgessa
1013_LSC - Medecina.mp4,Medecina
1014_LSC - Mareig.mp4,Mareig
1015_LSC - Malalt ⧸ malalta.mp4,Malalt ⧸ malalta
1016_LSC - Mal de queixal.mp4,Mal de queixal
1017_LSC - Mal de panxa.mp4,Mal de panxa
1018_LSC - Mal de cap.mp4,Mal de cap
1019_LSC - Llitera.mp4,Llitera
1020_LSC - Llavi.mp4,Llavi
1021_LSC - Lent ⧸ lenta.mp4,Lent ⧸ lenta
1022_LSC - Iode.mp4,Iode
1023_LSC - Infermer ⧸ infermera.mp4,Infermer ⧸ infermera
1024_LSC - Infecció.mp4,Infecció
1025_LSC - Hospital.mp4,Hospital
1026_LSC - Grip.mp4,Grip
1027_LSC - Generositat.mp4,Generositat
1028_LSC - Generós ⧸ generosa.mp4,Generós ⧸ generosa
1029_LSC - Gandul ⧸ gandula.mp4,Gandul ⧸ gandula
1030_LSC - Galta.mp4,Galta
1031_LSC - Ferida.mp4,Ferida
1032_LSC - Febre.mp4,Febre
1033_LSC - Farmàcia.mp4,Farmàcia
1034_LSC - Estómac.mp4,Estómac
1035_LSC - Estat d'ànim.mp4,Estat d'ànim
1036_LSC - Esquena.mp4,Esquena
1037_LSC - Espatlla.mp4,Espatlla
1038_LSC - Embarassada.mp4,Embarassada
1039_LSC - Embaràs.mp4,Embaràs
1040_LSC - Educat ⧸ educada.mp4,Educat ⧸ educada
1041_LSC - Dolor.mp4,Dolor
1042_LSC - Dolor (intens).mp4,Dolor (intens)
1043_LSC - Dolor (anímic).mp4,Dolor (anímic)
1044_LSC - Diarrea.mp4,Diarrea
1045_LSC - Deprimit ⧸ deprimida.mp4,Deprimit ⧸ deprimida
1046_LSC - Depressió.mp4,Depressió
1047_LSC - Curiós ⧸ curiosa.mp4,Curiós ⧸ curiosa
1048_LSC - Cuixa.mp4,Cuixa
1049_LSC - Cremada.mp4,Cremada
1050_LSC - Crema solar.mp4,Crema solar
1051_LSC - Covard ⧸ covarda.mp4,Covard ⧸ covarda
1052_LSC - Cotó fluix.mp4,Cotó fluix
1053_LSC - Cop.mp4,Cop
1054_LSC - Compresa.mp4,Compresa
1055_LSC - Coit.mp4,Coit
1056_LSC - Coïssor.mp4,Coïssor
1057_LSC - Broma.mp4,Broma
1058_LSC - Xeringa.mp4,Xeringa
1059_LSC - Xarop.mp4,Xarop
1060_LSC - Vulva.mp4,Vulva
1061_LSC - Vòmit.mp4,Vòmit
1062_LSC - Virus.mp4,Virus
1063_LSC - Valent ⧸ valenta.mp4,Valent ⧸ valenta
1064_LSC - Urgències.mp4,Urgències
1065_LSC - Tristesa (1).mp4,Tristesa (1)
1066_LSC - Tristesa (2).mp4,Tristesa (2)
1067_LSC - Tractament.mp4,Tractament
1068_LSC - Tos.mp4,Tos
1069_LSC - Tireta.mp4,Tireta
1070_LSC - Tímid ⧸ tímida.mp4,Tímid ⧸ tímida
1071_LSC - Termòmetre.mp4,Termòmetre
1072_LSC - Tampó.mp4,Tampó
1073_LSC - Tall.mp4,Tall
1074_LSC - Supositori.mp4,Supositori
1075_LSC - Simpàtic ⧸ simpàtica.mp4,Simpàtic ⧸ simpàtica
1076_LSC - Sexualitat.mp4,Sexualitat
1077_LSC - Sexe.mp4,Sexe
1078_LSC - Seriós ⧸ seriosa.mp4,Seriós ⧸ seriosa
1079_LSC - Senzill.mp4,Senzill
1080_LSC - Respirar.mp4,Respirar
1081_LSC - Relació sexual.mp4,Relació sexual
1082_LSC - Refredat.mp4,Refredat
1083_LSC - Recepta.mp4,Recepta
1084_LSC - Radiografia.mp4,Radiografia
1085_LSC - Queixal.mp4,Queixal
1086_LSC - Pulmó (2).mp4,Pulmó (2)
1087_LSC - Al·lèrgia.mp4,Al·lèrgia
1088_LSC - Accident.mp4,Accident
1089_LSC - Aigua oxigenada.mp4,Aigua oxigenada
1101_LSC - Targeta sanitària.mp4,Targeta sanitària
1103_LSC - Gamba (1).mp4,Gamba (1)
1104_LSC - Galeta.mp4,Galeta
1105_LSC - Fuet.mp4,Fuet
1106_LSC - Fruita.mp4,Fruita
1107_LSC - Formatge.mp4,Formatge
1108_LSC - Flam.mp4,Flam
1109_LSC - Fava.mp4,Fava
1110_LSC - Farina.mp4,Farina
1111_LSC - Espinacs.mp4,Espinacs
1112_LSC - Espagueti (1).mp4,Espagueti (1)
1113_LSC - Espagueti (2).mp4,Espagueti (2)
1114_LSC - Esmorzar de primera hora.mp4,Esmorzar de primera hora
1115_LSC - Esmorzar de mig matí.mp4,Esmorzar de mig matí
1116_LSC - Entrepà.mp4,Entrepà
1117_LSC - Ensaïmada.mp4,Ensaïmada
1118_LSC - Enciam.mp4,Enciam
1119_LSC - Embotit.mp4,Embotit
1120_LSC - Dinar.mp4,Dinar
1121_LSC - Croqueta.mp4,Croqueta
1122_LSC - Croissant.mp4,Croissant
1123_LSC - Crispetes.mp4,Crispetes
1124_LSC - Aperitiu.mp4,Aperitiu
1125_LSC - Amanida.mp4,Amanida
1126_LSC - All.mp4,All
1127_LSC - Albergínia.mp4,Albergínia
1128_LSC - Albercoc.mp4,Albercoc
1129_LSC - Aigua.mp4,Aigua
1130_LSC - Pernil.mp4,Pernil
1131_LSC - Pèsol.mp4,Pèsol
1132_LSC - Pizza.mp4,Pizza
1133_LSC - Plàtan.mp4,Plàtan
1134_LSC - Pollastre.mp4,Pollastre
1135_LSC - Poma.mp4,Poma
1136_LSC - Postres.mp4,Postres
1137_LSC - Pernil dolç.mp4,Pernil dolç
1138_LSC - Pera.mp4,Pera
1139_LSC - Peix.mp4,Peix
1140_LSC - Pebrot.mp4,Pebrot
1141_LSC - Paté.mp4,Paté
1142_LSC - Patata.mp4,Patata
1143_LSC  - Pastisseria.mp4,Pastisseria
1144_LSC - Pastís.mp4,Pastís
1145_LSC - Pastanaga.mp4,Pastanaga
1146_LSC - Pasta.mp4,Pasta
1147_LSC - Paella (2).mp4,Paella (2)
1148_LSC - Paella (1).mp4,Paella (1)
1149_LSC - Pa.mp4,Pa
1150_LSC - Pa de pessic.mp4,Pa de pessic
1151_LSC - Pa de motlle.mp4,Pa de motlle
1152_LSC - Ou.mp4,Ou
1153_LSC - Oliva.mp4,Oliva
1154_LSC - Oli.mp4,Oli
1155_LSC - Nata.mp4,Nata
1156_LSC -  Musclo.mp4,Musclo
1157_LSC - Mongeta.mp4,Mongeta
1158_LSC - Mongeta tendra.mp4,Mongeta tendra
1159_LSC - Mercat.mp4,Mercat
1160_LSC - Meló.mp4,Meló
1161_LSC - Melmelada.mp4,Melmelada
1162_LSC - Mel.mp4,Mel
1163_LSC - Marisc.mp4,Marisc
1164_LSC - Mantega.mp4,Mantega
1165_LSC - Mandarina.mp4,Mandarina
1166_LSC - Maduixa.mp4,Maduixa
1167_LSC - Macarrons (1).mp4,Macarrons (1)
1168_LSC - Macarrons (2).mp4,Macarrons (2)
1169_LSC - Llimona.mp4,Llimona
1170_LSC - Llet.mp4,Llet
1171_LSC - Llentia.mp4,Llentia
1172_LSC - Llegum.mp4,Llegum
1173_LSC - Lasanya.mp4,Lasanya
1174_LSC - Kiwi.mp4,Kiwi
1175_LSC - Iogurt.mp4,Iogurt
1176_LSC - Infusió.mp4,Infusió
1177_LSC - Hamburguesa.mp4,Hamburguesa
1178_LSC - Gelat.mp4,Gelat
1179_LSC - Gamba (2).mp4,Gamba (2)
1180_LSC - Xoriço.mp4,Xoriço
1181_LSC - Xocolata.mp4,Xocolata
1182_LSC - Xampinyó.mp4,Xampinyó
1183_LSC - Vinagre.mp4,Vinagre
1184_LSC - Vi.mp4,Vi
1185_LSC - Vi negre.mp4,Vi negre
1186_LSC - Vermut.mp4,Vermut
1187_LSC - Verdura (1).mp4,Verdura (1)
1188_LSC - Verdura (2).mp4,Verdura (2)
1189_LSC - Torrada.mp4,Torrada
1190_LSC - Tonyina.mp4,Tonyina
1191_LSC - Tomàquet.mp4,Tomàquet
1192_LSC - Taronja.mp4,Taronja
1193_LSC - Tallat.mp4,Tallat
1194_LSC - Sucre (2).mp4,Sucre (2)
1195_LSC - Sucre (1).mp4,Sucre (1)
1196_LSC - Suc de fruita.mp4,Suc de fruita
1197_LSC - Sopar.mp4,Sopar
1198_LSC - Sopa.mp4,Sopa
1199_LSC - Síndria (1).mp4,Síndria (1)
1200_LSC - Síndria (2).mp4,Síndria (2)
1201_LSC - Sardina.mp4,Sardina
1202_LSC -  Salsitxa.mp4,Salsitxa
1203_LSC - Salsa.mp4,Salsa
1204_LSC - Salmó.mp4,Salmó
1205_LSC - Saler.mp4,Saler
1206_LSC - Sal.mp4,Sal
1207_LSC - Raïm.mp4,Raïm
1208_LSC - Puré.mp4,Puré
1209_LSC - Préssec.mp4,Préssec
1210_LSC - Crema.mp4,Crema
1211_LSC - Costella.mp4,Costella
1212_LSC - Coliflor.mp4,Coliflor
1213_LSC - Col.mp4,Col
1214_LSC - Cola (refresc).mp4,Cola (refresc)
1215_LSC - Coca (2).mp4,Coca (2)
1216_LSC - Coca (1).mp4,Coca (1)
1217_LSC - Cloïssa.mp4,Cloïssa
1218_LSC - Cirera.mp4,Cirera
1219_LSC - Cigró.mp4,Cigró
1220_LSC - Cervesa.mp4,Cervesa
1221_LSC - Cereal.mp4,Cereal
1222_LSC - Ceba.mp4,Ceba
1223_LSC - Cava (2).mp4,Cava (2)
1224_LSC - Cava (1).mp4,Cava (1)
